,Building,Unit,Price,Bedrooms,Bathrooms
50,63 Wall,812,4650,1 Bed, 1
51,63 Wall,1815,4410,1 Bed, 1
52,63 Wall,1208,4375,Studio, 1
53,63 Wall,1203,3475,Studio, 1
54,67 Wall,18B,5230,1 Bed, 1
55,67 Wall,20E,4120,Studio, 1
56,67 Wall,17L,"$6,675",2,1
57,67 Wall,3G,"$5,700",2,1
58,67 Wall,17L,"$6,675",2,1
59,67 Wall,3G,"$5,700",2,1
60,90 West,19J,4200,1 Bed, 1
61,90 West,10Y,3600,1 Bed, 1
62,90 West,20V,3200,Studio, 1
63,90 West,10A,2950,Studio, 1
64,15 Park Row,5B,4500,1 Bed, 1
65,15 Park Row,15F,4550,1 Bed, 1
66,15 Park Row,5B,4500,1 Bed, 1
67,15 Park Row,15F,4550,1 Bed, 1
68,15 Park Row,10F,3950,1 Bed, 1
69,15 Park Row,8K,"$7,700",3,2
70,100 Maiden Lane,2106,4500,1 Bed, 1
71,100 Maiden Lane,2106,4500,1 Bed, 1
72,100 Maiden Lane,41-5,4495,1 Bed, 1
73,100 Maiden Lane,2305,4425,1 Bed, 1
74,100 Maiden Lane,1116,4250,Studio, 1
75,100 Maiden Lane,24-2,4200,1 Bed, 1
76,100 Maiden Lane,314,4075,Studio, 1
77,100 Maiden Lane,1011,3600,Studio, 1
78,100 Maiden Lane,825,"$6,195",2,2
79,100 Maiden Lane,825,"$6,195",2,2
80,95 Wall,2316,3450,Studio, 1
81,95 Wall,1402,3350,Studio, 1
82,95 Wall,622,5573,1 Bed, 1
83,95 Wall,923,4998,1 Bed, 1
84,95 Wall,2021,4837,1 Bed, 1
85,95 Wall,1104,4135,Studio, 1
86,95 Wall,1409,3999,Studio, 1
87,95 Wall,1718,3990,Studio, 1
88,95 Wall,1024,3798,Studio, 1
89,95 Wall,2203,3745,Studio, 1
90,95 Wall,1013,3709,Studio, 1
91,95 Wall,2014,3705,Studio, 1
92,95 Wall,2018,3675,Studio, 1
93,95 Wall,1718,3990,Studio, 1
94,95 Wall,2316,3450,Studio, 1
95,95 Wall,714,3650,Studio, 1
96,95 Wall,1001,3604,Studio, 1
97,95 Wall,509,3594,Studio, 1
98,95 Wall,709,3594,Studio, 1
99,95 Wall,613,3570,Studio, 1
100,95 Wall,910,3549,Studio, 1
101,95 Wall,1603,3515,Studio, 1
102,95 Wall,503,3500,Studio, 1
103,95 Wall,803,3500,Studio, 1
104,95 Wall,1216,3495,Studio, 1
105,95 Wall,215,3470,Studio, 1
106,95 Wall,2018,3675,Studio, 1
107,95 Wall,714,3650,Studio, 1
108,95 Wall,2316,3450,Studio, 1
109,95 Wall,903,3440,Studio, 1
110,95 Wall,1515,3435,Studio, 1
111,95 Wall,917,3430,Studio, 1
112,95 Wall,616,3430,Studio, 1
113,95 Wall,920,3410,Studio, 1
114,95 Wall,716,3410,Studio, 1
115,95 Wall,202,3385,Studio, 1
116,95 Wall,1102,3350,Studio, 1
117,95 Wall,1402,3350,Studio, 1
118,10 Hanover,2P,3577,Studio, 1
119,10 Hanover,23Y,3852,Studio, 1
120,10 Hanover,17F,5219,1 Bed, 1
121,10 Hanover,15G,5169,1 Bed, 1
122,10 Hanover,22F,5164,1 Bed, 1
123,10 Hanover,16F,5164,1 Bed, 1
124,10 Hanover,10E,5099,1 Bed, 1
125,10 Hanover,16M,4816,1 Bed, 1
126,10 Hanover,17D,4207,Studio, 1
127,10 Hanover,16D,4202,Studio, 1
128,10 Hanover,17J,4002,Studio, 1
129,10 Hanover,15A,"$6,749",2,2
130,10 Hanover,2A,"$6,699",2,2
131,10 Hanover,8T,3677,Studio, 1
132,10 Hanover,18B,3997,Studio, 1
133,10 Hanover,23Y,3852,Studio, 1
134,10 Hanover,2I,3817,Studio, 1
135,10 Hanover,23R,3777,Studio, 1
136,10 Hanover,11Y,3722,Studio, 1
137,10 Hanover,20R,3702,Studio, 1
138,10 Hanover,8T,3677,Studio, 1
139,10 Hanover,17Q,3677,Studio, 1
140,10 Hanover,22S,3602,Studio, 1
141,10 Hanover,9N,3602,Studio, 1
142,10 Hanover,2P,3577,Studio, 1
143,10 Hanover,2A,"$6,699",2,2
144,10 Hanover,16F,5164,1 Bed, 1
145,10 Hanover,15G,5169,1 Bed, 1
146,10 Hanover,16S,3572,Studio, 1
147,10 Hanover,10Q,3567,Studio, 1
148,10 Hanover,2N,3492,Studio, 1
149,10 Hanover,19J,3477,Studio, 1
150,2 Gold,PH8,4780,1 Bed, 1
151,2 Gold,16D,4270,1 Bed, 1
152,2 Gold,5G,3515,Studio, 1
153,2 Gold,4712,"$7,990",3,2
154,2 Gold,28F,"$7,010",2,2
155,2 Gold,803,"$6,675",2,2
156,45 Wall,201,7675,1 Bed, 2
157,45 Wall,2303,4540,1 Bed, 1
158,45 Wall,612,4485,Studio, 1
159,45 Wall,1819,3580,Studio, 1
160,45 Wall,1814,"$7,365",2,2
161,71 Broadway,5D,3754,Studio, 1
162,71 Broadway,20I,4542,1 Bed, 1
163,71 Broadway,22I,4521,1 Bed, 1
164,71 Broadway,15I,4472,1 Bed, 1
165,71 Broadway,5D,3754,Studio, 1
166,71 Broadway,14D,3749,Studio, 1
167,71 Broadway,2J,"$6,200",2,2
168,71 Broadway,22K,"$7,074",2,2
169,71 Broadway,2J,"$6,200",2,2
170,84 William,902,4750,1 Bed, 1
171,84 William,407,4300,Studio, 1
172,84 William,902,4750,1 Bed, 1
173,84 William,1408A,4700,1 Bed, 1
174,84 William,407,4300,Studio, 1
175,84 William,1705A,3400,Studio, 1
176,84 William,P101,"$7,100",2,2
177,180 Water,1522,3445,Studio, 1
178,180 Water,906,4575,1 Bed, 1
179,180 Water,2415,5820,1 Bed, 2
180,180 Water,2306,4675,1 Bed, 1
181,180 Water,1112,4650,1 Bed, 1
182,180 Water,906,4575,1 Bed, 1
183,180 Water,302,3495,Studio, 1
184,180 Water,1522,3445,Studio, 1
185,20 Broad,504,5850,Studio, 1
186,20 Broad,1408,4660,1 Bed, 1
187,20 Broad,1701,7995,1 Bed, 3
188,20 Broad,515,7950,1 Bed, 2
189,20 Broad,1019,7600,1 Bed, 2
190,20 Broad,719,7000,1 Bed, 2
191,20 Broad,504,5850,Studio, 1
192,20 Broad,501,5795,Studio, 1
193,20 Broad,1408,4660,1 Bed, 1
194,20 Broad,2008,4695,1 Bed, 1
195,20 Broad,204,4495,Studio, 1
196,20 Broad,1722,3295,Studio, 1
197,20 Broad,2901,"$7,995",2,1
198,20 Exchnage,1011,5650,1 Bed, 2
199,20 Exchnage,1502,3575,Studio, 1
200,20 Exchnage,1011,5650,1 Bed, 2
201,20 Exchnage,911,5640,1 Bed, 2
202,20 Exchnage,1004,5240,1 Bed, 2
203,20 Exchnage,1207,5160,1 Bed, 1
204,20 Exchnage,1309,4815,1 Bed, 1
205,20 Exchnage,1227,4530,1 Bed, 1
206,20 Exchnage,927,4500,1 Bed, 1
207,20 Exchnage,1217,4265,1 Bed, 1
208,20 Exchnage,917,4235,1 Bed, 1
209,20 Exchnage,1429,"$5,880",2,1
210,20 Exchnage,1029,"$5,450",2,1
211,20 Exchnage,1004,5240,1 Bed, 2
212,20 Exchnage,1015,3645,Studio, 1
213,20 Exchnage,1119,4200,1 Bed, 1
214,20 Exchnage,1019,4190,1 Bed, 1
215,20 Exchnage,1014,3945,Studio, 1
216,20 Exchnage,910,3930,Studio, 1
217,20 Exchnage,1521,3875,Studio, 1
218,20 Exchnage,1430,3785,Studio, 1
219,20 Exchnage,1103,3715,Studio, 1
220,20 Exchnage,903,3695,Studio, 1
221,20 Exchnage,1508,3690,Studio, 1
222,20 Exchnage,1415,3685,Studio, 1
223,20 Exchnage,1130,3655,Studio, 1
224,20 Exchnage,1119,4200,1 Bed, 1
225,20 Exchnage,1226,3555,Studio, 1
226,20 Exchnage,1506,3650,Studio, 1
227,20 Exchnage,1015,3645,Studio, 1
228,20 Exchnage,920,3645,Studio, 1
229,20 Exchnage,915,3635,Studio, 1
230,20 Exchnage,1412,3620,Studio, 1
231,20 Exchnage,1502,3575,Studio, 1
232,20 Exchnage,1432,3565,Studio, 1
233,20 Exchnage,1226,3555,Studio, 1
234,20 Exchnage,1022,3535,Studio, 1
235,20 Exchnage,913,3515,Studio, 1
236,20 Exchnage,923,3515,Studio, 1
237,20 Exchnage,911,5640,1 Bed, 2
238,20 Exchnage,902,3515,Studio, 1
239,20 Exchnage,1429,"$5,880",2,1
240,20 Exchnage,902,"$3,515",2,1
241,21 West,16H,3737,Studio, 1
242,21 West,18D,3887,Studio, 1
243,21 West,31E,5676,1 Bed, 2
244,21 West,28F,5591,1 Bed, 2
245,21 West,18D,3887,Studio, 1
246,21 West,16H,3737,Studio, 1
247,21 West,14H,3717,Studio, 1
248,21 West,5H,3562,Studio, 1
249,70 Pine,3806,5016,1 Bed, 1
250,70 Pine,1724,5343,1 Bed, 1
251,70 Pine,PH5703,"$9,772",2,2
252,70 Pine,2502,"$8,696",2,2
253,70 Pine,4404,"$8,596",2,2
254,70 Pine,4004,"$8,555",2,2
255,70 Pine,3804,"$8,535",2,2
256,70 Pine,3504,"$8,505",2,2
257,70 Pine,3304,"$8,402",2,2
258,70 Pine,3605,"$8,330",2,2
259,70 Pine,2312,"$8,224",2,2
260,70 Pine,1802,"$7,992",2,2
261,70 Pine,1617,"$7,843",2,2
262,70 Pine,711,3907,Studio, 1
263,70 Pine,5202,6253,1 Bed, 1
264,70 Pine,5403,6122,1 Bed, 1
265,70 Pine,5101,6082,1 Bed, 1
266,70 Pine,5001,6072,1 Bed, 1
267,70 Pine,3902,6022,1 Bed, 1
268,70 Pine,3602,5991,1 Bed, 1
269,70 Pine,4503,5981,1 Bed, 1
270,70 Pine,1404,5896,1 Bed, 1
271,70 Pine,2604,5730,1 Bed, 1
272,70 Pine,PH5703,"$9,772",2,2
273,70 Pine,2108,"$7,732",2,2
274,70 Pine,1717,"$7,692",2,2
275,70 Pine,1118,3780,Studio, 1
276,70 Pine,1309,3840,Studio, 1
277,70 Pine,1512,5670,1 Bed, 1
278,70 Pine,2304,5477,1 Bed, 1
279,70 Pine,1502,5418,1 Bed, 1
280,70 Pine,1724,5343,1 Bed, 1
281,70 Pine,4306,5097,1 Bed, 1
282,70 Pine,3806,5016,1 Bed, 1
283,70 Pine,1613,4965,Studio, 1
284,70 Pine,2807,4896,1 Bed, 1
285,70 Pine,1116,4875,Studio, 1
286,70 Pine,1522,4843,Studio, 1
287,70 Pine,1416,4753,Studio, 1
288,70 Pine,1724,5343,1 Bed, 1
289,70 Pine,810,4708,Studio, 1
290,70 Pine,2006,4558,Studio, 1
291,70 Pine,1009,4520,Studio, 1
292,70 Pine,3807,4017,Studio, 1
293,70 Pine,3507,3987,Studio, 1
294,70 Pine,708,3980,Studio, 1
295,70 Pine,1202,3977,Studio, 1
296,70 Pine,1206,3973,Studio, 1
297,70 Pine,1031,3970,Studio, 1
298,70 Pine,711,3907,Studio, 1
299,70 Pine,1309,3840,Studio, 1
300,70 Pine,3304,"$8,402",2,2
301,70 Pine,1522,4843,Studio, 1
302,70 Pine,1118,3780,Studio, 1
303,70 Pine,4404,"$8,596",2,2
304,29 Cliff,20C,5294,1 Bed, 1
305,29 Cliff,4E,3394,Studio, 1
306,29 Cliff,7T,"$7,941",2,2
307,29 Cliff,3G,"$7,395",2,2
308,29 Cliff,10D,"$7,395",2,2
309,254 Front,2C,3600,1 Bed, 1
310,15 Cliff,25C,5005,1 Bed, 1
311,15 Cliff,11A,4785,1 Bed, 1
312,15 Cliff,25C,5005,1 Bed, 1
313,15 Cliff,11A,4785,1 Bed, 1
314,15 Cliff,2D,4300,1 Bed, 1
315,15 Cliff,26F,"$6,680",2,2
316,15 Cliff,5E,"$5,405",2,1
317,33 Gold,L4,2600,Studio, 1
318,33 Gold,314,"$5,500",3,2
319,33 Gold,217,"$5,000",2,2
320,33 Gold,306,"$5,000",2,1
321,108 Fulton,11D,3200,1 Bed, 1
322,108 Fulton,6E,2600,Studio, 1
323,108 Fulton,12A,"$4,800",2,1
324,108 Fulton,4G,"$3,600",2,1
325,8 Spruce,30K,3980,Studio, 1
326,8 Spruce,42R,6570,1 Bed, 1
327,8 Spruce,51M,6167,1 Bed, 1
328,8 Spruce,41U,6065,1 Bed, 1
329,8 Spruce,14H,5770,1 Bed, 1
330,8 Spruce,16R,5765,1 Bed, 1
331,8 Spruce,19K,5345,1 Bed, 1
332,8 Spruce,40E,4785,Studio, 1
333,8 Spruce,57T,"$10,360",2,2
334,8 Spruce,57T,"$10,360",2,2
335,8 Spruce,59R,"$9,520",2,2
336,8 Spruce,57C,"$8,815",2,2
337,8 Spruce,27A,"$8,210",2,2
338,8 Spruce,14H,5770,1 Bed, 1
339,8 Spruce,36V,4370,Studio, 1
340,8 Spruce,12U,4265,Studio, 1
341,8 Spruce,30K,3980,Studio, 1
342,8 Spruce,59R,"$9,520",2,2
343,19 Dutch,16A,5344,1 Bed, 1
344,19 Dutch,48C,4747,Studio, 1
345,19 Dutch,53E,5740,1 Bed, 1
346,19 Dutch,16I,5672,1 Bed, 1
347,19 Dutch,16A,5344,1 Bed, 1
348,19 Dutch,48C,4747,Studio, 1
349,19 Dutch,27D,4391,Studio, 1
350,19 Dutch,29D,3993,Studio, 1
351,19 Dutch,16G,3976,Studio, 1
352,19 Dutch,19 Dutch Street PH7,"$11,291",2,2
353,19 Dutch,50I,"$8,469",2,2
354,19 Dutch,21H,"$6,796",2,1
355,7 Dey,29E,4925,Studio, 1
356,7 Dey,22D,7875,1 Bed, 1.5
357,7 Dey,25F,5970,1 Bed, 1
358,7 Dey,25B,5325,1 Bed, 1
359,7 Dey,29E,4925,Studio, 1
360,7 Dey,PHA,"$11,500",2,2
361,7 Dey,PHA,"$11,500",2,2
362,7 Dey,PHB,"$11,000",2,2
363,7 Dey,29A,"$9,990",2,2
364,2 Water,6D,4700,1 Bed, 1
365,2 Water,14H,"$8,000",2,2
366,200 Water,210,4250,Studio, 1
367,200 Water,213,4075,Studio, 1
368,200 Water,316,6500,Studio, 2
369,200 Water,209,5000,Studio, 1
370,200 Water,2102,4800,1 Bed, 1
371,200 Water,901,4700,1 Bed, 1
372,200 Water,525,4650,1 Bed, 1
373,200 Water,211,4500,Studio, 1
374,200 Water,210,4250,Studio, 1
375,200 Water,213,4075,Studio, 1
376,200 Water,1214,"$6,850",2,2
377,200 Water,1703,"$6,600",2,2
378,1 West,2417,4600,1 Bed, 1
379,1 West,1912,4195,Studio, 1
380,1 West,2814,3550,Studio, 1
381,1 West,2322,3300,Studio, 1
382,1 West,1942,3225,Studio, 1
383,1 West,3604,"$7,000",2,1
384,1 West,2908,"$5,300",3,1
385,1 West,2916,"$5,150",2,1
